date,gross_return,base_cost_return,stressed_cost_return,net_return,stressed_net_return,turnover,gross_leverage,net_exposure,nav,stressed_cost_nav
2012-07-26,-0.01352259274126245,0.0,0.0,-0.01352259274126245,-0.01352259274126245,0.0,2.0,0.2225101921213029,1.1891162963876591,1.1811613373963856
2012-07-27,-0.011374662035015543,0.0,0.0,-0.011374662035015543,-0.011374662035015543,0.0,2.0,0.2225101921213029,1.1755905003959202,1.1677260263746747
2012-07-30,0.0030910241090251317,0.0,0.0,0.0030910241090251317,0.0030910241090251317,0.0,2.0,0.2225101921213029,1.179224278974985,1.171335495674935
2012-07-31,0.00447721251164786,2.419932074973026e-05,7.259796224919077e-05,0.004453013190898129,0.004404614549398669,0.1499999999999999,1.8735877719962195,0.24074624953737478,1.184475380244288,1.176494777041412
2012-08-01,0.0012805779986391707,2.4199320749730277e-05,7.259796224919082e-05,0.0012563786778894404,0.0012079800363899798,0.15000000000000002,1.7471755439924386,0.25898230695344643,1.1859635298565119,1.1779159592449953
2012-08-02,0.008082192534812587,2.4199320749730266e-05,7.259796224919079e-05,0.008057993214062857,0.008009594572563396,0.14999999999999994,1.6207633159886574,0.2772183643695184,1.1955200159322215,1.1873505885190998
2012-08-03,-0.02266354672388185,1.4751540737744918e-05,4.425462221323475e-05,-0.022678298264619597,-0.022707801346095086,0.09143773635408348,1.5437043294810442,0.2883347897705097,1.1684076564295878,1.160388467226839
2012-08-06,-0.002870941832887828,0.0,0.0,-0.002870941832887828,-0.002870941832887828,0.0,1.5437043294810442,0.2883347897705097,1.1650532260108777,1.157057059433877
2012-08-07,-0.006615313235828278,0.0,0.0,-0.006615313235828278,-0.006615313235828278,0.0,1.5437043294810442,0.2883347897705097,1.1573460339844035,1.1494027645539955
2012-08-08,-0.0008865906065528401,0.0,0.0,-0.0008865906065528401,-0.0008865906065528401,0.0,1.5437043294810442,0.2883347897705097,1.1563199418621417,1.148383714859796
2012-08-09,0.00027328637800755546,0.0,0.0,0.00027328637800755546,0.00027328637800755546,0.0,1.5437043294810442,0.2883347897705097,1.156635948350871,1.1486975524857927
2012-08-10,0.001061858288497422,0.0,0.0,0.001061858288497422,0.001061858288497422,0.0,1.5437043294810442,0.2883347897705097,1.1578641318194014,1.1499173065028765
2012-08-13,0.0010932754078542108,0.0,0.0,0.0010932754078542108,0.0010932754078542108,0.0,1.5437043294810442,0.2883347897705097,1.159129996200356,1.1511744828151422
2012-08-14,-0.004321921555051097,0.0,0.0,-0.004321921555051097,-0.004321921555051097,0.0,1.5437043294810442,0.2883347897705097,1.1541203272846714,1.1461991970042387
2012-08-15,-0.00313044977330118,0.0,0.0,-0.00313044977330118,-0.00313044977330118,0.0,1.5437043294810442,0.2883347897705097,1.150507411567761,1.142611077987819
2012-08-16,-0.0082320521255364,0.0,0.0,-0.0082320521255364,-0.0082320521255364,0.0,1.5437043294810442,0.2883347897705097,1.1410363745849192,1.133205044034608
2012-08-17,0.0026057768646943966,0.0,0.0,0.0026057768646943966,0.0026057768646943966,0.0,1.5437043294810442,0.2883347897705097,1.1440096607715873,1.1361579235213082
2012-08-20,-0.00022464206308705592,0.0,0.0,-0.00022464206308705592,-0.00022464206308705592,0.0,1.5437043294810442,0.2883347897705097,1.1437526680812,1.1359026946613757
2012-08-21,-0.004225042272862101,0.0,0.0,-0.004225042272862101,-0.004225042272862101,0.0,1.5437043294810442,0.2883347897705097,1.138920264708858,1.1311034577585735
2012-08-22,0.0028872128061249985,0.0,0.0,0.0028872128061249985,0.0028872128061249985,0.0,1.5437043294810442,0.2883347897705097,1.1422085698822808,1.1343691941468663
2012-08-23,0.0028264190879589528,0.0,0.0,0.0028264190879589528,0.0028264190879589528,0.0,1.5437043294810442,0.2883347897705097,1.1454369299866265,1.1375753968899958
2012-08-24,0.0020315566421019136,0.0,0.0,0.0020315566421019136,0.0020315566421019136,0.0,1.5437043294810442,0.2883347897705097,1.1477639499898495,1.1398864457434392
2012-08-27,0.004085259391764035,0.0,0.0,0.004085259391764035,0.004085259391764035,0.0,1.5437043294810442,0.2883347897705097,1.1524528634460738,1.144543177551457
2012-08-28,-0.0012602002007216088,0.0,0.0,-0.0012602002007216088,-0.0012602002007216088,0.0,1.5437043294810442,0.2883347897705097,1.1510005421162368,1.143100824009372
2012-08-29,0.0010212320974897406,0.0,0.0,0.0010212320974897406,0.0010212320974897406,0.0,1.5437043294810442,0.2883347897705097,1.1521759808140741,1.1442681952615175
2012-08-30,0.006323865382609182,0.0,0.0,0.006323865382609182,0.006323865382609182,0.0,1.5437043294810442,0.2883347897705097,1.1594621866138182,1.1515043932899525
